index,val
"(12, 31, 1, 3)",0.010791366
"(13, 31, 1, 3)",0.03069544
"(14, 31, 1, 3)",0.01918465
"(15, 31, 1, 3)",0.015827337
"(16, 31, 1, 3)",0.027817743
"(17, 31, 1, 3)",0.01031175
"(18, 31, 1, 3)",0.014868104
"(19, 31, 1, 3)",0.003597122
"(78, 67, 1, 3)",2.9293e-41
"(1, 1, 1, 4)",2.9293e-41
"(8, 25, 1, 4)",0.00023980814
"(9, 25, 1, 4)",0.00023980814
"(4, 26, 1, 4)",0.00023980814
"(8, 26, 1, 4)",0.00023980814
"(9, 26, 1, 4)",0.00071942445
"(10, 26, 1, 4)",0.0016786569
"(11, 26, 1, 4)",0.0031175057
"(12, 26, 1, 4)",0.0033573138
"(13, 26, 1, 4)",0.0023980814
"(14, 26, 1, 4)",0.00047961628
"(15, 26, 1, 4)",0.00095923257
"(5, 27, 1, 4)",0.00047961628
"(6, 27, 1, 4)",0.00047961628
"(7, 27, 1, 4)",0.0011990407
"(8, 27, 1, 4)",0.0021582732
"(9, 27, 1, 4)",0.00767386
"(10, 27, 1, 4)",0.014628296
"(11, 27, 1, 4)",0.026618702
"(12, 27, 1, 4)",0.037649877
"(13, 27, 1, 4)",0.04604316
"(14, 27, 1, 4)",0.04100719
"(15, 27, 1, 4)",0.03213429
"(16, 27, 1, 4)",0.013429255
"(17, 27, 1, 4)",0.0021582732
"(18, 27, 1, 4)",0.00071942445
"(19, 27, 1, 4)",0.00047961628
"(6, 28, 1, 4)",0.0016786569
"(7, 28, 1, 4)",0.00383693
"(8, 28, 1, 4)",0.008153477
"(9, 28, 1, 4)",0.022302156
"(10, 28, 1, 4)",0.050359707
"(11, 28, 1, 4)",0.10119963
"(12, 28, 1, 4)",0.18417269
"(13, 28, 1, 4)",0.25443566
"(14, 28, 1, 4)",0.34532717
"(15, 28, 1, 4)",0.4028838
"(16, 28, 1, 4)",0.32973891
"(17, 28, 1, 4)",0.13117592
